"Room type,""Type of menial work"",""Type of work"",""per  pice = 0/by metrs = 1"",""Price"""
"Bedroom,""Electrics"",""Installation of single socket"",""0"",""500"""
"Bedroom,""Electrics"",""Installation of double socket"",""0"",""550"""
"Bedroom,""Electrics"",""Installation of triple socket"",""0"",""600"""
"Bedroom,""Electrics"",""Installation of quadraple socket"",""0"",""650"""
"Bedroom,""Electrics"",""Installation of TV mount"",""0"",""2500"""
"Bedroom,""Electrics"",""Installation of chandelier and wall lights"",""0"",""500"""
"Bedroom,""Dismantling"",""Dismantling walls"",""1"",""300"""
"Bedroom,""Dismantling"",""Dismantling floor"",""1"",""200"""
"Bedroom,""Dismantling"",""Dismantling ceiling"",""1"",""150"""
"Bedroom,""Dismantling"",""Preparation for chandelier replacement"",""0"",""140"""
"Bedroom,""Dismantling"",""Preparation for wall lights replacement"",""0"",""200"""
"Bedroom,""Construction"",""Floor installation"",""1"",""1300"""
"Bedroom,""Construction"",""Wall covering"",""1"",""330"""
"Bedroom,""Construction"",""Ceiling installation"",""1"",""420"""
"Bedroom,""Construction"",""Floor heating"",""1"",""550"""
"Living Room,""Electrics"",""Installation of single socket"",""0"",""500"""
"Living Room,""Electrics"",""Installation of double socket"",""0"",""550"""
"Living Room,""Electrics"",""Installation of triple socket"",""0"",""600"""
"Living Room,""Electrics"",""Installation of quadraple socket"",""0"",""650"""
"Living Room,""Electrics"",""Installation of TV mount"",""0"",""2500"""
"Living Room,""Electrics"",""Installation of chandelier and wall lights"",""0"",""500"""
"Living Room,""Dismantling"",""Dismantling walls"",""1"",""300"""
"Living Room,""Dismantling"",""Dismantling floor"",""1"",""200"""
"Living Room,""Dismantling"",""Dismantling ceiling"",""1"",""150"""
"Living Room,""Dismantling"",""Preparation for chandelier replacement"",""0"",""140"""
"Living Room,""Dismantling"",""Preparation for wall lights replacement"",""0"",""200"""
"Living Room,""Construction"",""Floor installation"",""1"",""1300"""
"Living Room,""Construction"",""Wall covering"",""1"",""330"""
"Living Room,""Construction"",""Ceiling installation"",""1"",""420"""
"Living Room,""Construction"",""Floor heating"",""1"",""550"""
"Kitchen,""Electrics"",""Installation of single socket"",""0"",""500"""
"Kitchen,""Electrics"",""Installation of double socket"",""0"",""550"""
"Kitchen,""Electrics"",""Installation of triple socket"",""0"",""600"""
"Kitchen,""Electrics"",""Installation of quadraple socket"",""0"",""650"""
